tamano,n_habitaciones,y
85.0,1.0,7.9411764705882355
75.0,4.0,11.466666666666667
91.0,3.0,6.043956043956044
45.0,1.0,12.777777777777779
75.0,3.0,8.933333333333334
60.0,3.0,10.0
95.0,3.0,7.368421052631579
95.0,3.0,5.2631578947368425
60.0,1.0,9.833333333333334
100.0,3.0,8.5
78.0,2.0,14.102564102564102
100.0,2.0,12.0
130.0,3.0,7.6923076923076925
60.0,2.0,12.916666666666666
75.0,3.0,8.266666666666667
63.0,3.0,8.73015873015873
72.0,3.0,9.722222222222221
94.0,3.0,8.51063829787234
100.0,3.0,6.5
85.0,2.0,8.823529411764707
140.0,3.0,5.428571428571429
75.0,2.0,10.0
90.0,2.0,8.333333333333334
72.0,2.0,8.194444444444445
94.0,3.0,10.372340425531915
70.0,3.0,8.571428571428571
75.0,3.0,8.0
73.0,2.0,9.58904109589041
99.0,3.0,8.080808080808081
120.0,3.0,8.125
54.0,2.0,14.814814814814815
90.0,3.0,8.333333333333334
69.0,2.0,9.565217391304348
50.0,1.0,16.0
78.0,3.0,8.58974358974359
40.0,1.0,16.875
160.0,4.0,8.125
84.0,3.0,5.9523809523809526
85.0,3.0,9.294117647058824
68.0,2.0,11.764705882352942
100.0,3.0,9.5
67.0,3.0,11.194029850746269
102.0,3.0,6.862745098039215
151.0,3.0,5.960264900662252
101.0,3.0,7.920792079207921
98.0,3.0,8.16326530612245
102.0,3.0,6.666666666666667
60.0,2.0,12.5
140.0,4.0,7.142857142857143
124.0,4.0,9.67741935483871
140.0,3.0,9.285714285714286
200.0,4.0,6.0
105.0,4.0,8.571428571428571
125.0,3.0,7.68
100.0,3.0,9.5
90.0,2.0,9.444444444444445
100.0,3.0,7.0
115.0,4.0,7.826086956521739
90.0,3.0,7.777777777777778
80.0,2.0,7.375
74.0,1.0,8.108108108108109
56.0,1.0,9.375
200.0,4.0,9.0
125.0,3.0,10.0
85.0,2.0,7.352941176470588
66.0,2.0,12.5
98.0,4.0,7.653061224489796
100.0,3.0,8.5
70.0,2.0,12.142857142857142
90.0,3.0,8.88888888888889
110.0,3.0,7.7272727272727275
85.0,3.0,7.9411764705882355
100.0,3.0,9.0
99.0,2.0,8.585858585858587
111.0,3.0,7.207207207207207
150.0,3.0,5.666666666666667
65.0,4.0,12.307692307692308
80.0,2.0,8.75
104.0,3.0,8.173076923076923
45.0,1.0,12.777777777777779
75.0,2.0,10.0
113.0,4.0,6.6371681415929205
65.0,1.0,12.307692307692308
115.0,3.0,8.26086956521739
80.0,3.0,6.375
89.0,2.0,7.865168539325842
100.0,3.0,7.5
118.0,2.0,7.203389830508475
100.0,3.0,4.5
73.0,2.0,10.0
90.0,3.0,9.666666666666666
120.0,4.0,7.5
85.0,2.0,10.0
60.0,1.0,12.5
75.0,1.0,10.666666666666666
74.0,2.0,7.4324324324324325
56.0,1.0,32.142857142857146
60.0,1.0,12.5
50.0,2.0,14.0
92.0,2.0,7.608695652173913
64.0,2.0,7.8125
116.0,3.0,5.431034482758621
100.0,3.0,8.5
70.0,3.0,13.571428571428571
109.0,4.0,8.256880733944953
63.0,1.0,9.523809523809524
75.0,2.0,10.133333333333333
52.0,1.0,12.5
83.0,2.0,7.831325301204819
53.0,1.0,9.433962264150944
26.0,1.0,20.192307692307693
69.0,2.0,7.971014492753623
62.0,2.0,10.483870967741936
80.0,2.0,12.1875
75.0,2.0,8.0
85.0,2.0,10.588235294117647
69.0,2.0,7.971014492753623
142.0,4.0,6.338028169014085
90.0,2.0,9.222222222222221
145.0,4.0,6.758620689655173
92.0,3.0,6.521739130434782
93.0,3.0,8.602150537634408
82.0,3.0,7.926829268292683
68.0,2.0,9.926470588235293
40.0,1.0,18.75
110.0,4.0,7.7272727272727275
40.0,1.0,15.625
80.0,2.0,10.625
84.0,2.0,8.928571428571429
98.0,3.0,6.63265306122449
82.0,2.0,9.634146341463415
95.0,2.0,8.421052631578947
90.0,2.0,7.5
100.0,2.0,7.0
100.0,3.0,9.5
69.0,2.0,10.840579710144928
110.0,3.0,7.7272727272727275
67.0,2.0,8.955223880597014
26.0,1.0,20.192307692307693
50.0,1.0,14.0
62.0,2.0,11.129032258064516
112.0,3.0,4.910714285714286
105.0,4.0,8.571428571428571
62.0,2.0,12.903225806451612
88.0,2.0,8.295454545454545
97.0,2.0,8.762886597938145
62.0,2.0,11.451612903225806
92.0,3.0,10.054347826086957
85.0,3.0,10.882352941176471
90.0,3.0,8.88888888888889
65.0,2.0,9.23076923076923
100.0,3.0,8.0
64.0,2.0,9.375
85.0,3.0,9.411764705882353
149.0,3.0,4.76510067114094
97.0,3.0,8.762886597938145
110.0,3.0,10.0
87.0,3.0,9.770114942528735
90.0,2.0,8.88888888888889
85.0,3.0,9.411764705882353
80.0,3.0,8.125
132.0,2.0,6.96969696969697
100.0,3.0,7.0
80.0,2.0,8.125
41.0,1.0,15.609756097560975
42.0,1.0,10.714285714285714
65.0,3.0,10.153846153846153
55.0,1.0,10.909090909090908
90.0,4.0,10.0
65.0,2.0,10.0
110.0,2.0,9.090909090909092
81.0,2.0,13.333333333333334
105.0,2.0,10.476190476190476
318.0,7.0,5.031446540880503
240.0,5.0,10.416666666666666
80.0,1.0,25.0
450.0,5.0,3.3333333333333335
85.0,3.0,14.117647058823529
110.0,3.0,11.363636363636363
125.0,4.0,10.0
110.0,3.0,12.727272727272727
245.0,5.0,7.346938775510204
200.0,4.0,6.0
178.0,3.0,11.235955056179776
285.0,4.0,3.8596491228070176
80.0,4.0,18.75
145.0,2.0,7.586206896551724
150.0,3.0,12.333333333333334
350.0,7.0,5.142857142857143
136.0,2.0,7.352941176470588
120.0,3.0,10.0
103.0,2.0,10.679611650485437
145.0,3.0,6.896551724137931
155.0,3.0,9.67741935483871
200.0,4.0,11.0
65.0,2.0,15.384615384615385
130.0,4.0,11.538461538461538
150.0,3.0,7.666666666666667
130.0,4.0,7.6923076923076925
230.0,4.0,4.782608695652174
80.0,3.0,8.125
90.0,4.0,11.11111111111111
105.0,5.0,9.523809523809524
44.0,1.0,54.54545454545455
120.0,4.0,15.0
100.0,4.0,15.0
110.0,3.0,10.909090909090908
70.0,2.0,21.428571428571427
86.0,2.0,29.069767441860463
80.0,2.0,15.0
110.0,3.0,18.181818181818183
130.0,4.0,11.538461538461538
100.0,3.0,12.0
165.0,3.0,11.212121212121213
63.0,1.0,15.873015873015873
270.0,4.0,3.888888888888889
95.0,2.0,11.052631578947368
60.0,1.0,13.166666666666666
68.0,3.0,7.352941176470588
110.0,3.0,12.727272727272727
315.0,3.0,4.444444444444445
120.0,2.0,16.666666666666668
155.0,3.0,9.67741935483871
60.0,1.0,18.333333333333332
110.0,2.0,9.090909090909092
80.0,3.0,13.75
95.0,3.0,14.736842105263158
115.0,3.0,11.304347826086957
75.0,2.0,9.333333333333334
68.0,2.0,32.35294117647059
91.0,3.0,8.791208791208792
110.0,3.0,6.363636363636363
140.0,3.0,11.071428571428571
90.0,3.0,10.833333333333334
90.0,2.0,8.88888888888889
155.0,3.0,7.096774193548387
100.0,4.0,13.0
95.0,2.0,12.631578947368421
80.0,3.0,10.0
144.0,3.0,7.638888888888889
110.0,3.0,10.909090909090908
120.0,3.0,12.083333333333334
318.0,5.0,5.031446540880503
289.0,4.0,7.958477508650519
150.0,4.0,8.666666666666666
110.0,3.0,10.909090909090908
110.0,3.0,9.090909090909092
101.0,3.0,11.881188118811881
126.0,2.0,9.126984126984127
123.0,3.0,6.504065040650406
75.0,2.0,8.0
110.0,2.0,10.909090909090908
100.0,2.0,15.0
380.0,5.0,7.368421052631579
210.0,4.0,5.238095238095238
98.0,2.0,15.306122448979592
240.0,5.0,7.083333333333333
320.0,5.0,10.9375
101.0,3.0,10.891089108910892
85.0,2.0,14.117647058823529
104.0,3.0,10.576923076923077
155.0,3.0,9.67741935483871
200.0,2.0,6.0
125.0,3.0,9.6
